This, line, contains, headers, and, can, be, ignored ,,,,,,
,,Base Scenario,0,,,,,,,,,,
,,,,,EQ_4GSPC,0,,,,,,parallel shift,0.060784
,,,,,EQ_AEX,0,,,,,,parallel shift,0.045107
,,,,,EQ_AMX,0,,,,,,parallel shift,0.035834
,,,,,EQ_ASCX,0,,,,,,parallel shift,-0.0016639
,,,,,EQ_BETFI,0,,,,,,parallel shift,0.036703
,,,,,EQ_BETI,0,,,,,,parallel shift,0.036703
,,,,,EQ_BUX,0,,,,,,parallel shift,0.14831
,,,,,EQ_CEMU_USD,0,,,,,,parallel shift,0.059977
,,,,,EQ_CIEU,0,,,,,,parallel shift,0.059977
,,,,,EQ_CIJP_USD,0,,,,,,parallel shift,0.077847
,,,,,EQ_CIKK_USD,0,,,,,,parallel shift,-0.00054108
,,,,,EQ_FTSE,0,,,,,,parallel shift,0.059977
,,,,,EQ_HSI,0,,,,,,parallel shift,0.11718
,,,,,EQ_IBEX,0,,,,,,parallel shift,0.059977
,,,,,EQ_IXIC,0,,,,,,parallel shift,0.060784
,,,,,EQ_KLSE,0,,,,,,parallel shift,0.023362
,,,,,EQ_KS11,0,,,,,,parallel shift,0.095823
,,,,,EQ_MSCIWO,0,,,,,,parallel shift,0.11718
,,,,,EQ_MSDUEAFE,0,,,,,,parallel shift,0.023362
,,,,,EQ_MSEUEGF,0,,,,,,parallel shift,0.036703
,,,,,EQ_N100,0,,,,,,parallel shift,0.048368
,,,,,EQ_N225,0,,,,,,parallel shift,0.077847
,,,,,EQ_NDX,0,,,,,,parallel shift,0.060784
,,,,,EQ_PX,0,,,,,,parallel shift,0.036703
,,,,,EQ_RUX,0,,,,,,parallel shift,0.060784
,,,,,EQ_SETI,0,,,,,,parallel shift,0.11718
,,,,,EQ_SPX,0,,,,,,parallel shift,0.060784
,,,,,EQ_SSEC,0,,,,,,parallel shift,0.11718
,,,,,EQ_STOXX50E,0,,,,,,parallel shift,0.048368
,,,,,EQ_TOPX,0,,,,,,parallel shift,0.033867
,,,,,EQ_WIG,0,,,,,,parallel shift,0.20499
,,,,,EQ_ASE,0,,,,,,parallel shift,0.072598
,,,,,EQ_CECEEUR,0,,,,,,parallel shift,0.036703
,,,,,EQ_EMUMIDCAP,0,,,,,,parallel shift,0.035834
,,,,,EQ_FBM100,0,,,,,,parallel shift,0.023362
,,,,,EQ_HFRXEW,0,,,,,,parallel shift,0.0033272
,,,,,EQ_HFRXGLE,0,,,,,,parallel shift,0.0033272
,,,,,EQ_MSDLWI,0,,,,,,parallel shift,0.060784
,,,,,EQ_MXEF,0,,,,,,parallel shift,0.036703
,,,,,EQ_MXEU,0,,,,,,parallel shift,-0.003786
,,,,,EQ_MXLA,0,,,,,,parallel shift,0.060784
,,,,,EQ_MXME,0,,,,,,parallel shift,0.036703
