#BAS,Matrix Parameter CurveSPEC,OBJECT,TYPE,NAME,IDENTIFIER,DatumDATE,RelativeCurveFLAG,OriginOffsetNB,TimeEvolutionFUNC,MatrixParmSurf0SIN,MatrixParmSurf1SIN,MatrixParSfExt0FLAG,MatrixParSfExt1FLAG,MatrixParmSurfFLAG
BAS,Matrix Parameter CurveSPEC,TRUE,TRUE,TRUE,@Constant,@Linear,@Constant,,FALSE,0,EV_AUD_SWAP,EV_AUD_SWAP,Matrix Parameter Curve,Matrix Parameter CurveSPEC
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.133514851,0,91,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.525992309,1,91,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,-0.237929487,2,91,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.513315213,3,91,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.164626094,0,182,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.494332751,1,182,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,-0.194020669,2,182,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.182099634,3,182,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.201633376,0,365,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.411406197,1,365,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,-0.069667743,2,365,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,-0.25780327,3,365,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.198684353,0,730,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.259903004,1,730,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.077549988,2,730,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,-0.423391925,3,730,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.178508213,0,1095,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.163687244,1,1095,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.135333035,2,1095,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,-0.334869644,3,1095,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.166327096,0,1460,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.111968783,1,1460,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.178043855,2,1460,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
